ColumnHeader,Measurement,Gravels,Stones,Treatment,Depth,Column,Block,Sensor,Units,Summary,MUX,Port
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(38,6)",VoltageRatio,Deep,StoneFree,A,D2,10,2,S_38,-,Samp,2,14
"CS650(39,1)",VolumetricWaterContent,Deep,StoneFree,A,D3,10,2,S_39,mm3/mm3,Samp,2,15
"CS650(39,2)",ElectricalConductivity,Deep,StoneFree,A,D3,10,2,S_39,dS/m,Samp,2,15
"CS650(39,3)",Temperature,Deep,StoneFree,A,D3,10,2,S_39,oC,Samp,2,15
"CS650(39,4)",Permittivity,Deep,StoneFree,A,D3,10,2,S_39,-,Samp,2,15
"CS650(39,5)",Period,Deep,StoneFree,A,D3,10,2,S_39,uSec,Samp,2,15
"CS650(39,6)",VoltageRatio,Deep,StoneFree,A,D3,10,2,S_39,-,Samp,2,15
"CS650(40,1)",VolumetricWaterContent,Deep,StoneFree,A,D4,10,2,S_40,mm3/mm3,Samp,2,16
"CS650(40,2)",ElectricalConductivity,Deep,StoneFree,A,D4,10,2,S_40,dS/m,Samp,2,16
"CS650(40,3)",Temperature,Deep,StoneFree,A,D4,10,2,S_40,oC,Samp,2,16
"CS650(40,4)",Permittivity,Deep,StoneFree,A,D4,10,2,S_40,-,Samp,2,16
"CS650(40,5)",Period,Deep,StoneFree,A,D4,10,2,S_40,uSec,Samp,2,16
"CS650(40,6)",VoltageRatio,Deep,StoneFree,A,D4,10,2,S_40,-,Samp,2,16
"CS650(41,1)",VolumetricWaterContent,Deep,VeryStony,C,D1,11,2,S_41,mm3/mm3,Samp,2,17
"CS650(41,2)",ElectricalConductivity,Deep,VeryStony,C,D1,11,2,S_41,dS/m,Samp,2,17
"CS650(41,3)",Temperature,Deep,VeryStony,C,D1,11,2,S_41,oC,Samp,2,17
"CS650(41,4)",Permittivity,Deep,VeryStony,C,D1,11,2,S_41,-,Samp,2,17
"CS650(41,5)",Period,Deep,VeryStony,C,D1,11,2,S_41,uSec,Samp,2,17
"CS650(41,6)",VoltageRatio,Deep,VeryStony,C,D1,11,2,S_41,-,Samp,2,17
"CS650(42,1)",VolumetricWaterContent,Deep,VeryStony,C,D2,11,2,S_42,mm3/mm3,Samp,2,18
"CS650(42,2)",ElectricalConductivity,Deep,VeryStony,C,D2,11,2,S_42,dS/m,Samp,2,18
"CS650(42,3)",Temperature,Deep,VeryStony,C,D2,11,2,S_42,oC,Samp,2,18
"CS650(42,4)",Permittivity,Deep,VeryStony,C,D2,11,2,S_42,-,Samp,2,18
"CS650(42,5)",Period,Deep,VeryStony,C,D2,11,2,S_42,uSec,Samp,2,18
"CS650(42,6)",VoltageRatio,Deep,VeryStony,C,D2,11,2,S_42,-,Samp,2,18
"CS650(43,1)",VolumetricWaterContent,Deep,VeryStony,C,D3,11,2,S_43,mm3/mm3,Samp,2,19
"CS650(43,2)",ElectricalConductivity,Deep,VeryStony,C,D3,11,2,S_43,dS/m,Samp,2,19
"CS650(43,3)",Temperature,Deep,VeryStony,C,D3,11,2,S_43,oC,Samp,2,19
"CS650(43,4)",Permittivity,Deep,VeryStony,C,D3,11,2,S_43,-,Samp,2,19
"CS650(43,5)",Period,Deep,VeryStony,C,D3,11,2,S_43,uSec,Samp,2,19
"CS650(43,6)",VoltageRatio,Deep,VeryStony,C,D3,11,2,S_43,-,Samp,2,19
"CS650(44,1)",VolumetricWaterContent,Deep,VeryStony,C,D4,11,2,S_44,mm3/mm3,Samp,2,20
"CS650(44,2)",ElectricalConductivity,Deep,VeryStony,C,D4,11,2,S_44,dS/m,Samp,2,20
"CS650(44,3)",Temperature,Deep,VeryStony,C,D4,11,2,S_44,oC,Samp,2,20
"CS650(44,4)",Permittivity,Deep,VeryStony,C,D4,11,2,S_44,-,Samp,2,20
"CS650(44,5)",Period,Deep,VeryStony,C,D4,11,2,S_44,uSec,Samp,2,20
"CS650(44,6)",VoltageRatio,Deep,VeryStony,C,D4,11,2,S_44,-,Samp,2,20
"CS650(45,1)",VolumetricWaterContent,Shallow,Stony,E,D1,12,2,S_45,mm3/mm3,Samp,2,21
"CS650(45,2)",ElectricalConductivity,Shallow,Stony,E,D1,12,2,S_45,dS/m,Samp,2,21
"CS650(45,3)",Temperature,Shallow,Stony,E,D1,12,2,S_45,oC,Samp,2,21
"CS650(45,4)",Permittivity,Shallow,Stony,E,D1,12,2,S_45,-,Samp,2,21
"CS650(45,5)",Period,Shallow,Stony,E,D1,12,2,S_45,uSec,Samp,2,21
"CS650(45,6)",VoltageRatio,Shallow,Stony,E,D1,12,2,S_45,-,Samp,2,21
"CS650(46,1)",VolumetricWaterContent,Shallow,Stony,E,D2,12,2,S_46,mm3/mm3,Samp,2,22
"CS650(46,2)",ElectricalConductivity,Shallow,Stony,E,D2,12,2,S_46,dS/m,Samp,2,22
"CS650(46,3)",Temperature,Shallow,Stony,E,D2,12,2,S_46,oC,Samp,2,22
"CS650(46,4)",Permittivity,Shallow,Stony,E,D2,12,2,S_46,-,Samp,2,22
"CS650(46,5)",Period,Shallow,Stony,E,D2,12,2,S_46,uSec,Samp,2,22
"CS650(46,6)",VoltageRatio,Shallow,Stony,E,D2,12,2,S_46,-,Samp,2,22
"CS650(47,1)",VolumetricWaterContent,Shallow,Stony,E,D3,12,2,S_47,mm3/mm3,Samp,2,23
"CS650(47,2)",ElectricalConductivity,Shallow,Stony,E,D3,12,2,S_47,dS/m,Samp,2,23
"CS650(47,3)",Temperature,Shallow,Stony,E,D3,12,2,S_47,oC,Samp,2,23
"CS650(47,4)",Permittivity,Shallow,Stony,E,D3,12,2,S_47,-,Samp,2,23
"CS650(47,5)",Period,Shallow,Stony,E,D3,12,2,S_47,uSec,Samp,2,23
"CS650(47,6)",VoltageRatio,Shallow,Stony,E,D3,12,2,S_47,-,Samp,2,23
"CS650(48,1)",VolumetricWaterContent,Shallow,Stony,E,D4,12,2,S_48,mm3/mm3,Samp,2,24
"CS650(48,2)",ElectricalConductivity,Shallow,Stony,E,D4,12,2,S_48,dS/m,Samp,2,24
"CS650(48,3)",Temperature,Shallow,Stony,E,D4,12,2,S_48,oC,Samp,2,24
"CS650(48,4)",Permittivity,Shallow,Stony,E,D4,12,2,S_48,-,Samp,2,24
"CS650(48,5)",Period,Shallow,Stony,E,D4,12,2,S_48,uSec,Samp,2,24
"CS650(48,6)",VoltageRatio,Shallow,Stony,E,D4,12,2,S_48,-,Samp,2,24
"CS650(49,1)",VolumetricWaterContent,Deep,Stony,B,D1,13,3,S_49,mm3/mm3,Samp,3,1
"CS650(49,2)",ElectricalConductivity,Deep,Stony,B,D1,13,3,S_49,dS/m,Samp,3,1
"CS650(49,3)",Temperature,Deep,Stony,B,D1,13,3,S_49,oC,Samp,3,1
"CS650(49,4)",Permittivity,Deep,Stony,B,D1,13,3,S_49,-,Samp,3,1
"CS650(49,5)",Period,Deep,Stony,B,D1,13,3,S_49,uSec,Samp,3,1
"CS650(49,6)",VoltageRatio,Deep,Stony,B,D1,13,3,S_49,-,Samp,3,1
"CS650(50,1)",VolumetricWaterContent,Deep,Stony,B,D2,13,3,S_50,mm3/mm3,Samp,3,2
"CS650(50,2)",ElectricalConductivity,Deep,Stony,B,D2,13,3,S_50,dS/m,Samp,3,2
"CS650(50,3)",Temperature,Deep,Stony,B,D2,13,3,S_50,oC,Samp,3,2
"CS650(50,4)",Permittivity,Deep,Stony,B,D2,13,3,S_50,-,Samp,3,2
"CS650(50,5)",Period,Deep,Stony,B,D2,13,3,S_50,uSec,Samp,3,2
"CS650(50,6)",VoltageRatio,Deep,Stony,B,D2,13,3,S_50,-,Samp,3,2
"CS650(51,1)",VolumetricWaterContent,Deep,Stony,B,D3,13,3,S_51,mm3/mm3,Samp,3,3
"CS650(51,2)",ElectricalConductivity,Deep,Stony,B,D3,13,3,S_51,dS/m,Samp,3,3
"CS650(51,3)",Temperature,Deep,Stony,B,D3,13,3,S_51,oC,Samp,3,3
"CS650(51,4)",Permittivity,Deep,Stony,B,D3,13,3,S_51,-,Samp,3,3
"CS650(51,5)",Period,Deep,Stony,B,D3,13,3,S_51,uSec,Samp,3,3
"CS650(51,6)",VoltageRatio,Deep,Stony,B,D3,13,3,S_51,-,Samp,3,3
"CS650(52,1)",VolumetricWaterContent,Deep,Stony,B,D4,13,3,S_52,mm3/mm3,Samp,3,4
"CS650(52,2)",ElectricalConductivity,Deep,Stony,B,D4,13,3,S_52,dS/m,Samp,3,4
"CS650(52,3)",Temperature,Deep,Stony,B,D4,13,3,S_52,oC,Samp,3,4
"CS650(52,4)",Permittivity,Deep,Stony,B,D4,13,3,S_52,-,Samp,3,4
"CS650(52,5)",Period,Deep,Stony,B,D4,13,3,S_52,uSec,Samp,3,4
"CS650(52,6)",VoltageRatio,Deep,Stony,B,D4,13,3,S_52,-,Samp,3,4
"CS650(53,1)",VolumetricWaterContent,Shallow,StoneFree,D,D1,14,3,S_53,mm3/mm3,Samp,3,5
"CS650(53,2)",ElectricalConductivity,Shallow,StoneFree,D,D1,14,3,S_53,dS/m,Samp,3,5
"CS650(53,3)",Temperature,Shallow,StoneFree,D,D1,14,3,S_53,oC,Samp,3,5
"CS650(53,4)",Permittivity,Shallow,StoneFree,D,D1,14,3,S_53,-,Samp,3,5
"CS650(53,5)",Period,Shallow,StoneFree,D,D1,14,3,S_53,uSec,Samp,3,5
"CS650(53,6)",VoltageRatio,Shallow,StoneFree,D,D1,14,3,S_53,-,Samp,3,5
"CS650(54,1)",VolumetricWaterContent,Shallow,StoneFree,D,D2,14,3,S_54,mm3/mm3,Samp,3,6
"CS650(54,2)",ElectricalConductivity,Shallow,StoneFree,D,D2,14,3,S_54,dS/m,Samp,3,6
"CS650(54,3)",Temperature,Shallow,StoneFree,D,D2,14,3,S_54,oC,Samp,3,6
"CS650(54,4)",Permittivity,Shallow,StoneFree,D,D2,14,3,S_54,-,Samp,3,6
"CS650(54,5)",Period,Shallow,StoneFree,D,D2,14,3,S_54,uSec,Samp,3,6
"CS650(54,6)",VoltageRatio,Shallow,StoneFree,D,D2,14,3,S_54,-,Samp,3,6
"CS650(55,1)",VolumetricWaterContent,Shallow,StoneFree,D,D3,14,3,S_55,mm3/mm3,Samp,3,7
"CS650(55,2)",ElectricalConductivity,Shallow,StoneFree,D,D3,14,3,S_55,dS/m,Samp,3,7
"CS650(55,3)",Temperature,Shallow,StoneFree,D,D3,14,3,S_55,oC,Samp,3,7
"CS650(55,4)",Permittivity,Shallow,StoneFree,D,D3,14,3,S_55,-,Samp,3,7
"CS650(55,5)",Period,Shallow,StoneFree,D,D3,14,3,S_55,uSec,Samp,3,7
"CS650(55,6)",VoltageRatio,Shallow,StoneFree,D,D3,14,3,S_55,-,Samp,3,7
"CS650(56,1)",VolumetricWaterContent,Shallow,StoneFree,D,D4,14,3,S_56,mm3/mm3,Samp,3,8
"CS650(56,2)",ElectricalConductivity,Shallow,StoneFree,D,D4,14,3,S_56,dS/m,Samp,3,8
"CS650(56,3)",Temperature,Shallow,StoneFree,D,D4,14,3,S_56,oC,Samp,3,8
"CS650(56,4)",Permittivity,Shallow,StoneFree,D,D4,14,3,S_56,-,Samp,3,8
"CS650(56,5)",Period,Shallow,StoneFree,D,D4,14,3,S_56,uSec,Samp,3,8
"CS650(56,6)",VoltageRatio,Shallow,StoneFree,D,D4,14,3,S_56,-,Samp,3,8
"CS650(57,1)",VolumetricWaterContent,Deep,VeryStony,C,D1,15,3,S_57,mm3/mm3,Samp,3,9
"CS650(57,2)",ElectricalConductivity,Deep,VeryStony,C,D1,15,3,S_57,dS/m,Samp,3,9
"CS650(57,3)",Temperature,Deep,VeryStony,C,D1,15,3,S_57,oC,Samp,3,9
"CS650(57,4)",Permittivity,Deep,VeryStony,C,D1,15,3,S_57,-,Samp,3,9
"CS650(57,5)",Period,Deep,VeryStony,C,D1,15,3,S_57,uSec,Samp,3,9
"CS650(57,6)",VoltageRatio,Deep,VeryStony,C,D1,15,3,S_57,-,Samp,3,9
"CS650(58,1)",VolumetricWaterContent,Deep,VeryStony,C,D2,15,3,S_58,mm3/mm3,Samp,3,10
"CS650(58,2)",ElectricalConductivity,Deep,VeryStony,C,D2,15,3,S_58,dS/m,Samp,3,10
"CS650(58,3)",Temperature,Deep,VeryStony,C,D2,15,3,S_58,oC,Samp,3,10
"CS650(58,4)",Permittivity,Deep,VeryStony,C,D2,15,3,S_58,-,Samp,3,10
"CS650(58,5)",Period,Deep,VeryStony,C,D2,15,3,S_58,uSec,Samp,3,10
"CS650(58,6)",VoltageRatio,Deep,VeryStony,C,D2,15,3,S_58,-,Samp,3,10
"CS650(59,1)",VolumetricWaterContent,Deep,VeryStony,C,D3,15,3,S_59,mm3/mm3,Samp,3,11
"CS650(59,2)",ElectricalConductivity,Deep,VeryStony,C,D3,15,3,S_59,dS/m,Samp,3,11
"CS650(59,3)",Temperature,Deep,VeryStony,C,D3,15,3,S_59,oC,Samp,3,11
"CS650(59,4)",Permittivity,Deep,VeryStony,C,D3,15,3,S_59,-,Samp,3,11
"CS650(59,5)",Period,Deep,VeryStony,C,D3,15,3,S_59,uSec,Samp,3,11
"CS650(59,6)",VoltageRatio,Deep,VeryStony,C,D3,15,3,S_59,-,Samp,3,11
"CS650(60,1)",VolumetricWaterContent,Deep,VeryStony,C,D4,15,3,S_60,mm3/mm3,Samp,3,12
"CS650(60,2)",ElectricalConductivity,Deep,VeryStony,C,D4,15,3,S_60,dS/m,Samp,3,12
"CS650(60,3)",Temperature,Deep,VeryStony,C,D4,15,3,S_60,oC,Samp,3,12
"CS650(60,4)",Permittivity,Deep,VeryStony,C,D4,15,3,S_60,-,Samp,3,12
"CS650(60,5)",Period,Deep,VeryStony,C,D4,15,3,S_60,uSec,Samp,3,12
"CS650(60,6)",VoltageRatio,Deep,VeryStony,C,D4,15,3,S_60,-,Samp,3,12
"CS650(61,1)",VolumetricWaterContent,Deep,StoneFree,A,D1,16,3,S_61,mm3/mm3,Samp,3,13
"CS650(61,2)",ElectricalConductivity,Deep,StoneFree,A,D1,16,3,S_61,dS/m,Samp,3,13
"CS650(61,3)",Temperature,Deep,StoneFree,A,D1,16,3,S_61,oC,Samp,3,13
"CS650(61,4)",Permittivity,Deep,StoneFree,A,D1,16,3,S_61,-,Samp,3,13
"CS650(61,5)",Period,Deep,StoneFree,A,D1,16,3,S_61,uSec,Samp,3,13
"CS650(61,6)",VoltageRatio,Deep,StoneFree,A,D1,16,3,S_61,-,Samp,3,13
"CS650(62,1)",VolumetricWaterContent,Deep,StoneFree,A,D2,16,3,S_62,mm3/mm3,Samp,3,14
"CS650(62,2)",ElectricalConductivity,Deep,StoneFree,A,D2,16,3,S_62,dS/m,Samp,3,14
"CS650(62,3)",Temperature,Deep,StoneFree,A,D2,16,3,S_62,oC,Samp,3,14
"CS650(62,4)",Permittivity,Deep,StoneFree,A,D2,16,3,S_62,-,Samp,3,14
"CS650(62,5)",Period,Deep,StoneFree,A,D2,16,3,S_62,uSec,Samp,3,14
"CS650(62,6)",VoltageRatio,Deep,StoneFree,A,D2,16,3,S_62,-,Samp,3,14
"CS650(63,1)",VolumetricWaterContent,Deep,StoneFree,A,D3,16,3,S_63,mm3/mm3,Samp,3,15
"CS650(63,2)",ElectricalConductivity,Deep,StoneFree,A,D3,16,3,S_63,dS/m,Samp,3,15
"CS650(63,3)",Temperature,Deep,StoneFree,A,D3,16,3,S_63,oC,Samp,3,15
"CS650(63,4)",Permittivity,Deep,StoneFree,A,D3,16,3,S_63,-,Samp,3,15
"CS650(63,5)",Period,Deep,StoneFree,A,D3,16,3,S_63,uSec,Samp,3,15
"CS650(63,6)",VoltageRatio,Deep,StoneFree,A,D3,16,3,S_63,-,Samp,3,15
"CS650(64,1)",VolumetricWaterContent,Deep,StoneFree,A,D4,16,3,S_64,mm3/mm3,Samp,3,16
"CS650(64,2)",ElectricalConductivity,Deep,StoneFree,A,D4,16,3,S_64,dS/m,Samp,3,16
"CS650(64,3)",Temperature,Deep,StoneFree,A,D4,16,3,S_64,oC,Samp,3,16
"CS650(64,4)",Permittivity,Deep,StoneFree,A,D4,16,3,S_64,-,Samp,3,16
"CS650(64,5)",Period,Deep,StoneFree,A,D4,16,3,S_64,uSec,Samp,3,16
"CS650(64,6)",VoltageRatio,Deep,StoneFree,A,D4,16,3,S_64,-,Samp,3,16
"CS650(65,1)",VolumetricWaterContent,Shallow,Stony,E,D1,17,3,S_65,mm3/mm3,Samp,3,17
"CS650(65,2)",ElectricalConductivity,Shallow,Stony,E,D1,17,3,S_65,dS/m,Samp,3,17
"CS650(65,3)",Temperature,Shallow,Stony,E,D1,17,3,S_65,oC,Samp,3,17
"CS650(65,4)",Permittivity,Shallow,Stony,E,D1,17,3,S_65,-,Samp,3,17
"CS650(65,5)",Period,Shallow,Stony,E,D1,17,3,S_65,uSec,Samp,3,17
"CS650(65,6)",VoltageRatio,Shallow,Stony,E,D1,17,3,S_65,-,Samp,3,17
"CS650(66,1)",VolumetricWaterContent,Shallow,Stony,E,D2,17,3,S_66,mm3/mm3,Samp,3,18
"CS650(66,2)",ElectricalConductivity,Shallow,Stony,E,D2,17,3,S_66,dS/m,Samp,3,18
"CS650(66,3)",Temperature,Shallow,Stony,E,D2,17,3,S_66,oC,Samp,3,18
"CS650(66,4)",Permittivity,Shallow,Stony,E,D2,17,3,S_66,-,Samp,3,18
"CS650(66,5)",Period,Shallow,Stony,E,D2,17,3,S_66,uSec,Samp,3,18
"CS650(66,6)",VoltageRatio,Shallow,Stony,E,D2,17,3,S_66,-,Samp,3,18
"CS650(67,1)",VolumetricWaterContent,Shallow,Stony,E,D3,17,3,S_67,mm3/mm3,Samp,3,19
"CS650(67,2)",ElectricalConductivity,Shallow,Stony,E,D3,17,3,S_67,dS/m,Samp,3,19
"CS650(67,3)",Temperature,Shallow,Stony,E,D3,17,3,S_67,oC,Samp,3,19
"CS650(67,4)",Permittivity,Shallow,Stony,E,D3,17,3,S_67,-,Samp,3,19
"CS650(67,5)",Period,Shallow,Stony,E,D3,17,3,S_67,uSec,Samp,3,19
"CS650(67,6)",VoltageRatio,Shallow,Stony,E,D3,17,3,S_67,-,Samp,3,19
"CS650(68,1)",VolumetricWaterContent,Shallow,Stony,E,D4,17,3,S_68,mm3/mm3,Samp,3,20
"CS650(68,2)",ElectricalConductivity,Shallow,Stony,E,D4,17,3,S_68,dS/m,Samp,3,20
"CS650(68,3)",Temperature,Shallow,Stony,E,D4,17,3,S_68,oC,Samp,3,20
"CS650(68,4)",Permittivity,Shallow,Stony,E,D4,17,3,S_68,-,Samp,3,20
"CS650(68,5)",Period,Shallow,Stony,E,D4,17,3,S_68,uSec,Samp,3,20
"CS650(68,6)",VoltageRatio,Shallow,Stony,E,D4,17,3,S_68,-,Samp,3,20
"CS650(69,1)",VolumetricWaterContent,Shallow,VeryStony,F,D1,18,3,S_69,mm3/mm3,Samp,3,21
"CS650(69,2)",ElectricalConductivity,Shallow,VeryStony,F,D1,18,3,S_69,dS/m,Samp,3,21
"CS650(69,3)",Temperature,Shallow,VeryStony,F,D1,18,3,S_69,oC,Samp,3,21
"CS650(69,4)",Permittivity,Shallow,VeryStony,F,D1,18,3,S_69,-,Samp,3,21
"CS650(69,5)",Period,Shallow,VeryStony,F,D1,18,3,S_69,uSec,Samp,3,21
"CS650(69,6)",VoltageRatio,Shallow,VeryStony,F,D1,18,3,S_69,-,Samp,3,21
"CS650(70,1)",VolumetricWaterContent,Shallow,VeryStony,F,D2,18,3,S_70,mm3/mm3,Samp,3,22
"CS650(70,2)",ElectricalConductivity,Shallow,VeryStony,F,D2,18,3,S_70,dS/m,Samp,3,22
"CS650(70,3)",Temperature,Shallow,VeryStony,F,D2,18,3,S_70,oC,Samp,3,22
"CS650(70,4)",Permittivity,Shallow,VeryStony,F,D2,18,3,S_70,-,Samp,3,22
"CS650(70,5)",Period,Shallow,VeryStony,F,D2,18,3,S_70,uSec,Samp,3,22
"CS650(70,6)",VoltageRatio,Shallow,VeryStony,F,D2,18,3,S_70,-,Samp,3,22
"CS650(71,1)",VolumetricWaterContent,Shallow,VeryStony,F,D3,18,3,S_71,mm3/mm3,Samp,3,23
"CS650(71,2)",ElectricalConductivity,Shallow,VeryStony,F,D3,18,3,S_71,dS/m,Samp,3,23
"CS650(71,3)",Temperature,Shallow,VeryStony,F,D3,18,3,S_71,oC,Samp,3,23
"CS650(71,4)",Permittivity,Shallow,VeryStony,F,D3,18,3,S_71,-,Samp,3,23
"CS650(71,5)",Period,Shallow,VeryStony,F,D3,18,3,S_71,uSec,Samp,3,23
"CS650(71,6)",VoltageRatio,Shallow,VeryStony,F,D3,18,3,S_71,-,Samp,3,23
"CS650(72,1)",VolumetricWaterContent,Shallow,VeryStony,F,D4,18,3,S_72,mm3/mm3,Samp,3,24
"CS650(72,2)",ElectricalConductivity,Shallow,VeryStony,F,D4,18,3,S_72,dS/m,Samp,3,24
"CS650(72,3)",Temperature,Shallow,VeryStony,F,D4,18,3,S_72,oC,Samp,3,24
"CS650(72,4)",Permittivity,Shallow,VeryStony,F,D4,18,3,S_72,-,Samp,3,24
"CS650(72,5)",Period,Shallow,VeryStony,F,D4,18,3,S_72,uSec,Samp,3,24
"CS650(72,6)",VoltageRatio,Shallow,VeryStony,F,D4,18,3,S_72,-,Samp,3,24
"CS650(73,1)",VolumetricWaterContent,Deep,Stony,B,D1,19,4,S_73,mm3/mm3,Samp,4,1
"CS650(73,2)",ElectricalConductivity,Deep,Stony,B,D1,19,4,S_73,dS/m,Samp,4,1
"CS650(73,3)",Temperature,Deep,Stony,B,D1,19,4,S_73,oC,Samp,4,1
"CS650(73,4)",Permittivity,Deep,Stony,B,D1,19,4,S_73,-,Samp,4,1
"CS650(73,5)",Period,Deep,Stony,B,D1,19,4,S_73,uSec,Samp,4,1
"CS650(73,6)",VoltageRatio,Deep,Stony,B,D1,19,4,S_73,-,Samp,4,1
"CS650(74,1)",VolumetricWaterContent,Deep,Stony,B,D2,19,4,S_74,mm3/mm3,Samp,4,2
"CS650(74,2)",ElectricalConductivity,Deep,Stony,B,D2,19,4,S_74,dS/m,Samp,4,2
"CS650(74,3)",Temperature,Deep,Stony,B,D2,19,4,S_74,oC,Samp,4,2
"CS650(74,4)",Permittivity,Deep,Stony,B,D2,19,4,S_74,-,Samp,4,2
"CS650(74,5)",Period,Deep,Stony,B,D2,19,4,S_74,uSec,Samp,4,2
"CS650(74,6)",VoltageRatio,Deep,Stony,B,D2,19,4,S_74,-,Samp,4,2
"CS650(75,1)",VolumetricWaterContent,Deep,Stony,B,D3,19,4,S_75,mm3/mm3,Samp,4,3
"CS650(75,2)",ElectricalConductivity,Deep,Stony,B,D3,19,4,S_75,dS/m,Samp,4,3
"CS650(75,3)",Temperature,Deep,Stony,B,D3,19,4,S_75,oC,Samp,4,3
"CS650(75,4)",Permittivity,Deep,Stony,B,D3,19,4,S_75,-,Samp,4,3
"CS650(75,5)",Period,Deep,Stony,B,D3,19,4,S_75,uSec,Samp,4,3
"CS650(75,6)",VoltageRatio,Deep,Stony,B,D3,19,4,S_75,-,Samp,4,3
"CS650(76,1)",VolumetricWaterContent,Deep,Stony,B,D4,19,4,S_76,mm3/mm3,Samp,4,4
"CS650(76,2)",ElectricalConductivity,Deep,Stony,B,D4,19,4,S_76,dS/m,Samp,4,4
"CS650(76,3)",Temperature,Deep,Stony,B,D4,19,4,S_76,oC,Samp,4,4
"CS650(76,4)",Permittivity,Deep,Stony,B,D4,19,4,S_76,-,Samp,4,4
"CS650(76,5)",Period,Deep,Stony,B,D4,19,4,S_76,uSec,Samp,4,4
"CS650(76,6)",VoltageRatio,Deep,Stony,B,D4,19,4,S_76,-,Samp,4,4
"CS650(77,1)",VolumetricWaterContent,Shallow,StoneFree,D,D1,20,4,S_77,mm3/mm3,Samp,4,5
"CS650(77,2)",ElectricalConductivity,Shallow,StoneFree,D,D1,20,4,S_77,dS/m,Samp,4,5
"CS650(77,3)",Temperature,Shallow,StoneFree,D,D1,20,4,S_77,oC,Samp,4,5
"CS650(77,4)",Permittivity,Shallow,StoneFree,D,D1,20,4,S_77,-,Samp,4,5
"CS650(77,5)",Period,Shallow,StoneFree,D,D1,20,4,S_77,uSec,Samp,4,5
"CS650(77,6)",VoltageRatio,Shallow,StoneFree,D,D1,20,4,S_77,-,Samp,4,5
"CS650(78,1)",VolumetricWaterContent,Shallow,StoneFree,D,D2,20,4,S_78,mm3/mm3,Samp,4,6
"CS650(78,2)",ElectricalConductivity,Shallow,StoneFree,D,D2,20,4,S_78,dS/m,Samp,4,6
"CS650(78,3)",Temperature,Shallow,StoneFree,D,D2,20,4,S_78,oC,Samp,4,6
"CS650(78,4)",Permittivity,Shallow,StoneFree,D,D2,20,4,S_78,-,Samp,4,6
"CS650(78,5)",Period,Shallow,StoneFree,D,D2,20,4,S_78,uSec,Samp,4,6
"CS650(78,6)",VoltageRatio,Shallow,StoneFree,D,D2,20,4,S_78,-,Samp,4,6
"CS650(79,1)",VolumetricWaterContent,Shallow,StoneFree,D,D3,20,4,S_79,mm3/mm3,Samp,4,7
"CS650(79,2)",ElectricalConductivity,Shallow,StoneFree,D,D3,20,4,S_79,dS/m,Samp,4,7
"CS650(79,3)",Temperature,Shallow,StoneFree,D,D3,20,4,S_79,oC,Samp,4,7
"CS650(79,4)",Permittivity,Shallow,StoneFree,D,D3,20,4,S_79,-,Samp,4,7
"CS650(79,5)",Period,Shallow,StoneFree,D,D3,20,4,S_79,uSec,Samp,4,7
"CS650(79,6)",VoltageRatio,Shallow,StoneFree,D,D3,20,4,S_79,-,Samp,4,7
"CS650(80,1)",VolumetricWaterContent,Shallow,StoneFree,D,D4,20,4,S_80,mm3/mm3,Samp,4,8
"CS650(80,2)",ElectricalConductivity,Shallow,StoneFree,D,D4,20,4,S_80,dS/m,Samp,4,8
"CS650(80,3)",Temperature,Shallow,StoneFree,D,D4,20,4,S_80,oC,Samp,4,8
"CS650(80,4)",Permittivity,Shallow,StoneFree,D,D4,20,4,S_80,-,Samp,4,8
"CS650(80,5)",Period,Shallow,StoneFree,D,D4,20,4,S_80,uSec,Samp,4,8
"CS650(80,6)",VoltageRatio,Shallow,StoneFree,D,D4,20,4,S_80,-,Samp,4,8
"CS650(81,1)",VolumetricWaterContent,Shallow,VeryStony,F,D1,21,4,S_81,mm3/mm3,Samp,4,9
"CS650(81,2)",ElectricalConductivity,Shallow,VeryStony,F,D1,21,4,S_81,dS/m,Samp,4,9
"CS650(81,3)",Temperature,Shallow,VeryStony,F,D1,21,4,S_81,oC,Samp,4,9
"CS650(81,4)",Permittivity,Shallow,VeryStony,F,D1,21,4,S_81,-,Samp,4,9
"CS650(81,5)",Period,Shallow,VeryStony,F,D1,21,4,S_81,uSec,Samp,4,9
"CS650(81,6)",VoltageRatio,Shallow,VeryStony,F,D1,21,4,S_81,-,Samp,4,9
"CS650(82,1)",VolumetricWaterContent,Shallow,VeryStony,F,D2,21,4,S_82,mm3/mm3,Samp,4,10
"CS650(82,2)",ElectricalConductivity,Shallow,VeryStony,F,D2,21,4,S_82,dS/m,Samp,4,10
"CS650(82,3)",Temperature,Shallow,VeryStony,F,D2,21,4,S_82,oC,Samp,4,10
"CS650(82,4)",Permittivity,Shallow,VeryStony,F,D2,21,4,S_82,-,Samp,4,10
"CS650(82,5)",Period,Shallow,VeryStony,F,D2,21,4,S_82,uSec,Samp,4,10
