ColumnHeader,Measurement,Gravels,Stones,Treatment,Depth,Column,Block,Sensor,Units,Summary,MUX,Port
TIMESTAMP,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
RECORD,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
BattV_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
PTemp_C_Avg,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt,Expt
"CS650(10,2)",ElectricalConductivity,Shallow,Stony,E,D2,3,1,S_10,dS/m,Samp,1,10
"CS650(10,3)",Temperature,Shallow,Stony,E,D2,3,1,S_10,oC,Samp,1,10
"CS650(10,4)",Permittivity,Shallow,Stony,E,D2,3,1,S_10,-,Samp,1,10
"CS650(10,5)",Period,Shallow,Stony,E,D2,3,1,S_10,uSec,Samp,1,10
"CS650(10,6)",VoltageRatio,Shallow,Stony,E,D2,3,1,S_10,-,Samp,1,10
"CS650(11,1)",VolumetricWaterContent,Shallow,Stony,E,D3,3,1,S_11,mm3/mm3,Samp,1,11
"CS650(11,2)",ElectricalConductivity,Shallow,Stony,E,D3,3,1,S_11,dS/m,Samp,1,11
"CS650(11,3)",Temperature,Shallow,Stony,E,D3,3,1,S_11,oC,Samp,1,11
"CS650(11,4)",Permittivity,Shallow,Stony,E,D3,3,1,S_11,-,Samp,1,11
"CS650(11,5)",Period,Shallow,Stony,E,D3,3,1,S_11,uSec,Samp,1,11
"CS650(11,6)",VoltageRatio,Shallow,Stony,E,D3,3,1,S_11,-,Samp,1,11
"CS650(12,1)",VolumetricWaterContent,Shallow,Stony,E,D4,3,1,S_12,mm3/mm3,Samp,1,12
"CS650(12,2)",ElectricalConductivity,Shallow,Stony,E,D4,3,1,S_12,dS/m,Samp,1,12
"CS650(12,3)",Temperature,Shallow,Stony,E,D4,3,1,S_12,oC,Samp,1,12
"CS650(12,4)",Permittivity,Shallow,Stony,E,D4,3,1,S_12,-,Samp,1,12
"CS650(12,5)",Period,Shallow,Stony,E,D4,3,1,S_12,uSec,Samp,1,12
"CS650(12,6)",VoltageRatio,Shallow,Stony,E,D4,3,1,S_12,-,Samp,1,12
"CS650(13,1)",VolumetricWaterContent,Deep,VeryStony,C,D1,4,1,S_13,mm3/mm3,Samp,1,13
"CS650(13,2)",ElectricalConductivity,Deep,VeryStony,C,D1,4,1,S_13,dS/m,Samp,1,13
"CS650(13,3)",Temperature,Deep,VeryStony,C,D1,4,1,S_13,oC,Samp,1,13
"CS650(13,4)",Permittivity,Deep,VeryStony,C,D1,4,1,S_13,-,Samp,1,13
"CS650(13,5)",Period,Deep,VeryStony,C,D1,4,1,S_13,uSec,Samp,1,13
"CS650(13,6)",VoltageRatio,Deep,VeryStony,C,D1,4,1,S_13,-,Samp,1,13
"CS650(14,1)",VolumetricWaterContent,Deep,VeryStony,C,D2,4,1,S_14,mm3/mm3,Samp,1,14
"CS650(14,2)",ElectricalConductivity,Deep,VeryStony,C,D2,4,1,S_14,dS/m,Samp,1,14
"CS650(14,3)",Temperature,Deep,VeryStony,C,D2,4,1,S_14,oC,Samp,1,14
"CS650(14,4)",Permittivity,Deep,VeryStony,C,D2,4,1,S_14,-,Samp,1,14
"CS650(14,5)",Period,Deep,VeryStony,C,D2,4,1,S_14,uSec,Samp,1,14
"CS650(14,6)",VoltageRatio,Deep,VeryStony,C,D2,4,1,S_14,-,Samp,1,14
"CS650(15,1)",VolumetricWaterContent,Deep,VeryStony,C,D3,4,1,S_15,mm3/mm3,Samp,1,15
"CS650(15,2)",ElectricalConductivity,Deep,VeryStony,C,D3,4,1,S_15,dS/m,Samp,1,15
"CS650(15,3)",Temperature,Deep,VeryStony,C,D3,4,1,S_15,oC,Samp,1,15
"CS650(15,4)",Permittivity,Deep,VeryStony,C,D3,4,1,S_15,-,Samp,1,15
"CS650(15,5)",Period,Deep,VeryStony,C,D3,4,1,S_15,uSec,Samp,1,15
"CS650(15,6)",VoltageRatio,Deep,VeryStony,C,D3,4,1,S_15,-,Samp,1,15
"CS650(16,1)",VolumetricWaterContent,Deep,VeryStony,C,D4,4,1,S_16,mm3/mm3,Samp,1,16
"CS650(16,2)",ElectricalConductivity,Deep,VeryStony,C,D4,4,1,S_16,dS/m,Samp,1,16
"CS650(16,3)",Temperature,Deep,VeryStony,C,D4,4,1,S_16,oC,Samp,1,16
"CS650(16,4)",Permittivity,Deep,VeryStony,C,D4,4,1,S_16,-,Samp,1,16
"CS650(16,5)",Period,Deep,VeryStony,C,D4,4,1,S_16,uSec,Samp,1,16
"CS650(16,6)",VoltageRatio,Deep,VeryStony,C,D4,4,1,S_16,-,Samp,1,16
"CS650(17,1)",VolumetricWaterContent,Deep,Stony,B,D1,5,1,S_17,mm3/mm3,Samp,1,17
"CS650(17,2)",ElectricalConductivity,Deep,Stony,B,D1,5,1,S_17,dS/m,Samp,1,17
"CS650(17,3)",Temperature,Deep,Stony,B,D1,5,1,S_17,oC,Samp,1,17
"CS650(17,4)",Permittivity,Deep,Stony,B,D1,5,1,S_17,-,Samp,1,17
"CS650(17,5)",Period,Deep,Stony,B,D1,5,1,S_17,uSec,Samp,1,17
"CS650(17,6)",VoltageRatio,Deep,Stony,B,D1,5,1,S_17,-,Samp,1,17
"CS650(18,1)",VolumetricWaterContent,Deep,Stony,B,D2,5,1,S_18,mm3/mm3,Samp,1,18
"CS650(18,2)",ElectricalConductivity,Deep,Stony,B,D2,5,1,S_18,dS/m,Samp,1,18
"CS650(18,3)",Temperature,Deep,Stony,B,D2,5,1,S_18,oC,Samp,1,18
"CS650(18,4)",Permittivity,Deep,Stony,B,D2,5,1,S_18,-,Samp,1,18
"CS650(18,5)",Period,Deep,Stony,B,D2,5,1,S_18,uSec,Samp,1,18
"CS650(18,6)",VoltageRatio,Deep,Stony,B,D2,5,1,S_18,-,Samp,1,18
"CS650(19,1)",VolumetricWaterContent,Deep,Stony,B,D3,5,1,S_19,mm3/mm3,Samp,1,19
"CS650(19,2)",ElectricalConductivity,Deep,Stony,B,D3,5,1,S_19,dS/m,Samp,1,19
